ContentSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf63b6794bfd655255775f48b6a16cc5,e87eb036-fd0f-4aaa-a6d0-4d89f3b0432a,2025/3/11 16:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS,N,EYE_OPENING_L,LX,LY,LP,EYE_OPENING_R,RX,RY,RP,CamPos_X,CamPos_Y,CamPos_Z,CamRot_X,CamRot_Y,CamRot_Z,CamRot_W,LControllerPos_X,LControllerPos_Y,LControllerPos_Z,LControllerRot_X,LControllerRot_Y,LControllerRot_Z,LControllerRot_W,RControllerPos_X,RControllerPos_Y,RControllerPos_Z,RControllerRot_X,RControllerRot_Y,RControllerRot_Z,RControllerRot_W
0.02,0,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.29576,17.64647,-159.7881,-0.03305138,-0.1116315,0.004716062,-0.9931887,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861
0.039999999,1,1,2141.91,1191.178,0,0,2141.91,1191.178,0,97.72787,16.5134,-158.6997,-0.02971052,0.5018609,-0.01340081,-0.8643341,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828
0.059999999,2,1,2159.033,1245.53,0,1,2159.033,1245.53,0,97.72475,16.51997,-158.6965,-0.02876465,0.5000147,-0.01006302,-0.8654805,97.43117,15.95203,-158.7025,-0.03058572,-0.4285868,0.5577215,0.7101583,97.59769,15.94345,-158.4401,-0.3581567,0.3509694,0.1242024,-0.8562232
0.083910987,3,1,2160.204,1252.086,0,1,2160.204,1252.086,0,97.71887,16.51978,-158.6933,-0.0287951,0.4999821,-0.009956787,-0.8654997,97.42527,15.95155,-158.6991,-0.03047195,-0.4283516,0.5579275,0.7101433,97.59181,15.94325,-158.4367,-0.3581955,0.3510248,0.1243562,-0.8561619
0.1050338,4,1,2158.594,1244.166,0,1,2158.594,1244.166,0,97.71338,16.5196,-158.6903,-0.02882866,0.4998728,-0.009771785,-0.8655638,97.41953,15.95135,-158.6962,-0.03061537,-0.4282449,0.5579002,0.7102229,97.5863,15.94314,-158.4337,-0.3580676,0.3509027,0.1246564,-0.8562219
0.140467394,5,1,2158.364,1246.62,0,1,2158.364,1246.62,0,97.70359,16.51929,-158.6849,-0.02883512,0.4998206,-0.009714903,-0.8655943,97.41007,15.95107,-158.6907,-0.03111064,-0.4277347,0.5580237,0.7104117,97.5766,15.94306,-158.4281,-0.3580767,0.3509898,0.124378,-0.8562227
0.166611927,6,1,2158.601,1246.506,0,1,2158.601,1246.506,0,97.69611,16.51903,-158.6806,-0.02895192,0.4995937,-0.009530327,-0.8657235,97.40197,15.95098,-158.6869,-0.03079931,-0.4281298,0.5579775,0.7102236,97.56898,15.94258,-158.4246,-0.358067,0.3511616,0.1246517,-0.8561165
0.191052605,7,1,2158.427,1247.703,0,1,2158.427,1247.703,0,97.68867,16.51888,-158.6765,-0.02891719,0.4995648,-0.009435564,-0.8657423,97.39423,15.95081,-158.683,-0.03066915,-0.4282083,0.5578929,0.7102482,97.56152,15.94222,-158.4208,-0.3580308,0.350989,0.1247526,-0.8561878
0.22694375,8,1,2158.368,1247.212,0,1,2158.368,1247.212,0,97.67725,16.51834,-158.6702,-0.02911764,0.499379,-0.009252197,-0.8658448,97.38241,15.95041,-158.677,-0.0302929,-0.4281506,0.5581017,0.7101351,97.54998,15.94143,-158.4144,-0.3580105,0.3507695,0.1248172,-0.8562768
0.265757915,9,1,2158.726,1246.376,0,1,2158.726,1246.376,0,97.66433,16.51808,-158.663,-0.02913858,0.4990743,-0.009108031,-0.8660213,97.37002,15.95046,-158.6697,-0.03091902,-0.428128,0.557979,0.7102181,97.53722,15.94106,-158.4074,-0.3577609,0.3511204,0.1243614,-0.8563036
0.300159894,10,1,2163.319,1242.585,0,1,2163.319,1242.585,0,97.65243,16.51766,-158.6564,-0.02884729,0.4988776,-0.009032414,-0.8661451,97.35808,15.95005,-158.6631,-0.03089622,-0.427938,0.5579151,0.7103839,97.5253,15.94044,-158.401,-0.3577639,0.3512455,0.1241311,-0.8562844
0.342289686,11,1,2169.655,1248.453,0,1,2169.655,1248.453,0,97.63721,16.51743,-158.648,-0.02843482,0.498771,-0.008167963,-0.8662288,97.34293,15.94965,-158.6549,-0.03058901,-0.4276291,0.5578995,0.7105954,97.5099,15.93997,-158.3921,-0.3577302,0.3510991,0.1249967,-0.8562326
0.381187134,12,1,2180.302,1245.134,0,1,2180.302,1245.134,0,97.62273,16.51707,-158.6399,-0.02839326,0.4986485,-0.007732461,-0.8663047,97.32876,15.94961,-158.6471,-0.03051484,-0.428017,0.5580372,0.7102569,97.4955,15.93993,-158.3843,-0.3581405,0.3513631,0.1244322,-0.8560352
0.410733644,13,1,2178.221,1245.532,0,1,2178.221,1245.532,0,97.61131,16.5168,-158.6335,-0.02841575,0.4984599,-0.007391221,-0.8664154,97.31788,15.94991,-158.6408,-0.03063038,-0.4281957,0.5577876,0.7103402,97.48399,15.93974,-158.3779,-0.3578595,0.3510149,0.124445,-0.8562935
0.437159946,14,1,2176.445,1245.692,0,1,2176.445,1245.692,0,97.60081,16.51659,-158.6276,-0.02844563,0.4981891,-0.006888141,-0.8665743,97.30773,15.95009,-158.6349,-0.0300146,-0.4282223,0.5572882,0.7107424,97.47331,15.93947,-158.3721,-0.3578264,0.3509177,0.1242617,-0.8563738
0.467003802,15,1,2173.561,1246.049,0,1,2173.561,1246.049,0,97.58852,16.51624,-158.6207,-0.02818266,0.497879,-0.006466462,-0.8667644,97.29539,15.94981,-158.628,-0.02947095,-0.4285004,0.5569714,0.7108458,97.4609,15.9391,-158.3655,-0.3577646,0.3507845,0.1245375,-0.8564141
0.494051717,16,1,2172.46,1245.653,0,1,2172.46,1245.653,0,97.57713,16.5159,-158.6143,-0.02821217,0.4975448,-0.006099211,-0.866958,97.28363,15.94952,-158.6218,-0.02967303,-0.428396,0.5571947,0.7107255,97.44937,15.93913,-158.3595,-0.358044,0.3507024,0.1241559,-0.8563865
0.521235103,17,1,2173.57,1245.372,0,1,2173.57,1245.372,0,97.5653,16.51565,-158.6077,-0.02832388,0.4972091,-0.005747581,-0.8671492,97.27151,15.94924,-158.6151,-0.02954903,-0.4283841,0.5571496,0.7107731,97.43737,15.93902,-158.353,-0.3580334,0.3506265,0.1241736,-0.8564193
0.552173175,18,1,2176.507,1240.611,0,1,2176.507,1240.611,0,97.55154,16.51524,-158.6,-0.02830809,0.4967993,-0.005320959,-0.8673874,97.25724,15.94839,-158.6075,-0.02945192,-0.4282269,0.5573306,0.7107298,97.42339,15.93898,-158.3454,-0.3579284,0.3504859,0.1240426,-0.8565398
0.577642392,19,1,2175.993,1240.984,0,1,2175.993,1240.984,0,97.53985,16.51506,-158.5935,-0.02805185,0.4966143,-0.005150577,-0.8675027,97.24509,15.94719,-158.6011,-0.02965826,-0.4283787,0.5572975,0.7106557,97.41158,15.93875,-158.3392,-0.3579523,0.3503525,0.1241186,-0.8565733
0.603863487,20,1,2176.434,1240.957,0,1,2176.434,1240.957,0,97.52747,16.5148,-158.5865,-0.02787454,0.4962768,-0.004520355,-0.8677051,97.23208,15.94631,-158.5943,-0.02967739,-0.4284701,0.5572137,0.7106655,97.39918,15.9386,-158.3324,-0.3579339,0.3505307,0.1234525,-0.8566043
0.631954789,21,1,2176.82,1240.473,0,1,2176.82,1240.473,0,97.51389,16.51445,-158.579,-0.0277714,0.4959278,-0.004139489,-0.8679097,97.21774,15.94516,-158.5869,-0.02960514,-0.4283859,0.5572414,0.7106977,97.38544,15.93822,-158.3253,-0.3578959,0.3504832,0.1238605,-0.8565807
0.659468852,22,1,2174.327,1239.888,0,1,2174.327,1239.888,0,97.50026,16.51419,-158.5713,-0.02736326,0.4956909,-0.00392753,-0.868059,97.20354,15.94438,-158.5795,-0.02970657,-0.4286497,0.5572602,0.7105196,97.37173,15.93782,-158.3178,-0.3581362,0.3502742,0.1240466,-0.856539
0.689908071,23,1,2174.709,1240.577,0,1,2174.709,1240.577,0,97.48481,16.51375,-158.5628,-0.02721307,0.495436,-0.003607667,-0.8682107,97.18878,15.94475,-158.5709,-0.02953278,-0.4288354,0.5571622,0.7104916,97.35609,15.93734,-158.3092,-0.358044,0.3502676,0.1241677,-0.8565626
0.715971613,24,1,2169.597,1241.809,0,1,2169.597,1241.809,0,97.47127,16.5133,-158.5551,-0.02749137,0.4951715,-0.003387921,-0.8683536,97.17531,15.94433,-158.5634,-0.02968611,-0.4288985,0.5571165,0.710483,97.34225,15.93662,-158.3017,-0.3578331,0.3498618,0.1247641,-0.85673
0.743983697,25,1,2148.074,1220.585,0,1,2148.074,1220.585,0,97.45645,16.51286,-158.5469,-0.02774834,0.4946912,-0.003180859,-0.8686199,97.16056,15.94409,-158.5553,-0.02941746,-0.4288918,0.5571751,0.7104523,97.32707,15.93559,-158.2929,-0.357769,0.3497815,0.125215,-0.8567237
0.770214062,26,1,2149.126,1216.846,0,1,2149.126,1216.846,0,97.44227,16.5125,-158.5389,-0.02790443,0.4941737,-0.003117373,-0.8689097,97.14635,15.94401,-158.5476,-0.02951974,-0.4287959,0.5573114,0.7103989,97.3127,15.93487,-158.285,-0.3577932,0.3497413,0.1252435,-0.8567258
0.798144896,27,1,2155.425,1218.308,0,1,2155.425,1218.308,0,97.42688,16.51207,-158.5303,-0.02798385,0.4937203,-0.002894046,-0.8691656,97.13087,15.94382,-158.5391,-0.02950469,-0.4287553,0.5573938,0.7103596,97.29716,15.9342,-158.2766,-0.3577623,0.3498842,0.1253445,-0.8566656
0.826887604,28,1,2159.672,1213.924,0,1,2159.672,1213.924,0,97.41068,16.51159,-158.5213,-0.02796103,0.4932713,-0.002682031,-0.869422,97.11439,15.94339,-158.5302,-0.02944581,-0.4290221,0.5572709,0.7102973,97.28083,15.93334,-158.2673,-0.3577887,0.3494887,0.1253297,-0.8568183
