ContentSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a77e3fe374f1e7e7167d0cd2048f99c9,8068ac4c-aa44-4374-970a-72da4d9f2bba,2025/3/31 15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS,N,EYE_OPENING_L,LX,LY,LP,EYE_OPENING_R,RX,RY,RP,CamPos_X,CamPos_Y,CamPos_Z,CamRot_X,CamRot_Y,CamRot_Z,CamRot_W,LControllerPos_X,LControllerPos_Y,LControllerPos_Z,LControllerRot_X,LControllerRot_Y,LControllerRot_Z,LControllerRot_W,RControllerPos_X,RControllerPos_Y,RControllerPos_Z,RControllerRot_X,RControllerRot_Y,RControllerRot_Z,RControllerRot_W
0.02,0,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.71116,17.64143,-158.7059,-0.003947935,0.5370595,-0.007308735,-0.8435034,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861
0.039999999,1,1,2162.528,1233.689,0,1,2162.528,1233.689,0,97.72798,16.5228,-158.6995,-0.02383933,0.5013655,-0.01181901,-0.8648264,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828
0.059999999,2,1,2167.566,1250.121,0,1,2167.566,1250.121,0,97.72392,16.51714,-158.6971,-0.02495643,0.5010993,-0.01297574,-0.8649325,97.57368,16.00624,-158.6308,-0.06197433,0.5066786,-0.1387878,-0.8486306,97.62563,15.99878,-158.499,0.1064316,-0.4222426,-0.02565167,0.8998475
0.117110677,3,1,2166.307,1247.046,0,1,2166.307,1247.046,0,97.70975,16.51645,-158.6892,-0.02498598,0.5009593,-0.01292556,-0.8650136,97.5595,16.00566,-158.6231,-0.06187326,0.5066355,-0.1385442,-0.8487036,97.61146,15.99833,-158.4913,0.1069871,-0.4221064,-0.02614857,0.8998312
0.153072916,4,1,2183.74,1239.574,0,1,2183.74,1239.574,0,97.70032,16.51618,-158.6839,-0.02520079,0.5008231,-0.01289974,-0.8650866,97.5501,16.00541,-158.6181,-0.06156347,0.5067108,-0.1384358,-0.8486987,97.60201,15.99825,-158.4862,0.1069773,-0.4223387,-0.02609198,0.8997251
0.179987969,5,1,2184.139,1246.398,0,1,2184.139,1246.398,0,97.69285,16.5159,-158.6798,-0.02521172,0.5007055,-0.01298661,-0.865153,97.54276,16.00525,-158.614,-0.0617035,0.5068442,-0.1380806,-0.8486668,97.59463,15.99829,-158.4822,0.107014,-0.4225488,-0.02585869,0.8996288
0.212568073,6,1,2183.122,1245.354,0,1,2183.122,1245.354,0,97.68335,16.51541,-158.6745,-0.0254643,0.5005493,-0.01302981,-0.8652354,97.53326,16.0049,-158.6088,-0.0619868,0.5067013,-0.1376072,-0.8488084,97.58501,15.9977,-158.4767,0.1069179,-0.4226069,-0.02595178,0.8996102
0.242503438,7,1,2187.885,1248.074,0,1,2187.885,1248.074,0,97.67419,16.51511,-158.6693,-0.02576295,0.5003021,-0.01325842,-0.8653662,97.52409,16.00474,-158.6038,-0.06204967,0.5068152,-0.1373874,-0.8487715,97.5758,15.99715,-158.4715,0.1070513,-0.4222315,-0.02623722,0.8997623
0.270649167,8,1,2175.605,1259.314,0,1,2175.605,1259.314,0,97.6652,16.51476,-158.6643,-0.02594616,0.4999898,-0.0132335,-0.8655414,97.51526,16.0048,-158.5989,-0.06236816,0.5074944,-0.137652,-0.8482992,97.56664,15.99652,-158.4663,0.106534,-0.4223659,-0.02624633,0.8997604
0.301938491,9,1,2181.415,1252.688,0,1,2181.415,1252.688,0,97.65477,16.51448,-158.6585,-0.02616932,0.4996132,-0.01330253,-0.8657512,97.5051,16.0051,-158.5931,-0.06254338,0.5076217,-0.1380462,-0.8481461,97.55618,15.9961,-158.4604,0.1060637,-0.4225677,-0.02551341,0.8997423
0.329508804,10,1,2181.893,1254.876,0,1,2181.893,1254.876,0,97.64515,16.5144,-158.653,-0.02625075,0.4992321,-0.0128337,-0.8659754,97.49556,16.00502,-158.5878,-0.06213733,0.5078234,-0.1378833,-0.8480818,97.54666,15.99603,-158.4553,0.1060377,-0.4224085,-0.02566132,0.8998159
0.358738491,11,1,2189.586,1253.56,0,1,2189.586,1253.56,0,97.63451,16.5147,-158.6471,-0.02605633,0.4987603,-0.0126346,-0.8662561,97.48479,16.00449,-158.5819,-0.06210267,0.5078678,-0.1377142,-0.8480851,97.53618,15.99611,-158.4498,0.1061453,-0.4221716,-0.02582593,0.8999096
0.386563439,12,1,2181.98,1256.39,0,1,2181.98,1256.39,0,97.62413,16.51441,-158.6414,-0.02574703,0.498362,-0.01215624,-0.8665014,97.47417,16.0039,-158.5761,-0.06222256,0.5079244,-0.1375071,-0.848076,97.52571,15.99579,-158.4442,0.1062439,-0.4220973,-0.02586373,0.8999318
0.415220521,13,1,2170.621,1257.712,0,1,2170.621,1257.712,0,97.61304,16.51398,-158.6352,-0.02604663,0.4981605,-0.01218917,-0.8666078,97.46295,16.00336,-158.57,-0.06239986,0.5077938,-0.1374333,-0.8481532,97.51464,15.9957,-158.4382,0.1062856,-0.4220318,-0.02576342,0.8999605
0.442587137,14,1,2175.033,1263.301,0,1,2175.033,1263.301,0,97.60186,16.51458,-158.629,-0.02529176,0.4980205,-0.01195023,-0.8667141,97.45193,16.00298,-158.564,-0.06247512,0.5078803,-0.1378377,-0.8480303,97.50382,15.99578,-158.4325,0.1063459,-0.4220915,-0.0256515,0.8999286
0.470791303,15,1,2188.208,1258.558,0,1,2188.208,1258.558,0,97.59019,16.51394,-158.6225,-0.02478504,0.4978926,-0.01161571,-0.8668066,97.44012,16.00229,-158.5576,-0.06227417,0.507856,-0.1379666,-0.8480387,97.49216,15.99556,-158.4262,0.1062073,-0.4227432,-0.02523973,0.8996506
0.498201147,16,1,2183.47,1267.974,0,1,2183.47,1267.974,0,97.57843,16.51359,-158.6161,-0.02478497,0.497875,-0.01153074,-0.866818,97.42838,16.00181,-158.5513,-0.06248391,0.5076895,-0.1378988,-0.8481339,97.48035,15.995,-158.4197,0.105957,-0.4223557,-0.02503543,0.8998679
0.525599845,17,1,2175.962,1273.748,0,1,2175.962,1273.748,0,97.56637,16.51311,-158.6094,-0.02478289,0.4979183,-0.01124708,-0.8667969,97.41635,16.00148,-158.5447,-0.06221171,0.5081043,-0.1379923,-0.8478903,97.46821,15.99434,-158.4129,0.1056318,-0.4227046,-0.02487303,0.8997467
0.553026667,18,1,2179.391,1276.919,0,1,2179.391,1276.919,0,97.55399,16.51249,-158.6026,-0.02515632,0.4978946,-0.01161246,-0.8667949,97.40401,16.00117,-158.5379,-0.06238598,0.5080739,-0.1379184,-0.8479077,97.45575,15.99378,-158.406,0.1056965,-0.422709,-0.02489726,0.8997364
0.580884427,19,1,2175.63,1270.606,0,1,2175.63,1270.606,0,97.54097,16.51217,-158.5955,-0.02550163,0.4979025,-0.01203002,-0.8667746,97.39115,16.00089,-158.5308,-0.06255724,0.5080209,-0.1379379,-0.8479237,97.44281,15.99332,-158.3989,0.105802,-0.4224343,-0.02497587,0.8998508
0.608998073,20,1,2178.329,1274.418,0,1,2178.329,1274.418,0,97.52752,16.51175,-158.5881,-0.02556356,0.497936,-0.01201455,-0.8667538,97.37775,16.00038,-158.5234,-0.06237764,0.5084946,-0.1381758,-0.8476142,97.42937,15.9927,-158.3914,0.106012,-0.4223501,-0.02498656,0.8998654
0.63749099,21,1,2173.424,1269.576,0,1,2173.424,1269.576,0,97.51354,16.51118,-158.5805,-0.02551984,0.4980026,-0.01213645,-0.866715,97.36374,15.99984,-158.5157,-0.06253448,0.5087337,-0.1382542,-0.8474464,97.41522,15.99159,-158.3835,0.105767,-0.4222721,-0.02502689,0.8999296
0.665114427,22,1,2173.046,1268.706,0,1,2173.046,1268.706,0,97.49973,16.51046,-158.573,-0.02562726,0.4981159,-0.0125628,-0.8666407,97.34986,15.99935,-158.5081,-0.06265989,0.5089663,-0.1385361,-0.8472513,97.4013,15.99094,-158.3759,0.1057716,-0.4221736,-0.02515722,0.8999717
