ContentSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82feb7b59d7964d5bfb18c4efe6fb54e,594481aa-e8aa-458a-a3f4-9cf6b3d23276,2025/3/11 16:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS,N,EYE_OPENING_L,LX,LY,LP,EYE_OPENING_R,RX,RY,RP,CamPos_X,CamPos_Y,CamPos_Z,CamRot_X,CamRot_Y,CamRot_Z,CamRot_W,LControllerPos_X,LControllerPos_Y,LControllerPos_Z,LControllerRot_X,LControllerRot_Y,LControllerRot_Z,LControllerRot_W,RControllerPos_X,RControllerPos_Y,RControllerPos_Z,RControllerRot_X,RControllerRot_Y,RControllerRot_Z,RControllerRot_W
0.02,0,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.78481,18.18284,-158.768,-0.01803871,-0.9431597,0.03590528,-0.3299018,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861
0.039999999,1,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.72797,16.51941,-158.6996,0,-0.5021462,0,0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828
0.059999999,2,1,2198.868,1215.921,0,1,2198.868,1215.921,0,97.727,16.52622,-158.7024,-0.002450683,-0.510803,0.0089097,0.8596481,97.72424,16.51929,-158.6976,0,0.5021535,0,-0.8647785,97.72424,16.51929,-158.6976,0,0.5021535,0,-0.8647785
0.08507828,3,1,2171.808,1239.444,0,1,2171.808,1239.444,0,97.72081,16.52602,-158.699,-0.00245076,-0.5108105,0.008909679,0.8596438,97.71806,16.5191,-158.6942,0,0.5021609,0,-0.8647742,97.71806,16.5191,-158.6942,0,0.5021609,0,-0.8647742
0.19980057,4,1,2171.715,1239.111,0,1,2171.715,1239.111,0,97.69073,16.52361,-158.6826,-0.002349912,-0.5109431,0.008992692,0.8595644,97.68799,16.51815,-158.6778,0,0.5022067,0,-0.8647476,97.68799,16.51815,-158.6778,0,0.5022067,0,-0.8647476
0.218091454,5,1,2172.054,1238.725,0,1,2172.054,1238.725,0,97.68564,16.52347,-158.6796,-0.001224715,-0.5106434,0.007810876,0.8597564,97.68292,16.51799,-158.675,0,0.5022141,0,-0.8647434,97.68292,16.51799,-158.675,0,0.5022141,0,-0.8647434
0.249389526,6,1,2172.606,1238.769,0,1,2172.606,1238.769,0,97.67657,16.52309,-158.6745,-0.001314157,-0.5101346,0.007852044,0.8600578,97.40592,15.93193,-158.6152,-0.05584491,0.4520023,-0.2129692,-0.8644185,97.52904,16.19354,-158.5037,-0.1247769,-0.4692328,-0.09572235,0.8689583
0.275692495,7,1,2173.434,1238.735,0,1,2173.434,1238.735,0,97.66862,16.52289,-158.6699,-0.001119417,-0.509382,0.007598736,0.8605062,97.3978,15.93188,-158.6106,-0.05646519,0.4521756,-0.2124829,-0.8644073,97.5134,16.17599,-158.5002,-0.095031,-0.4850981,-0.07665279,0.8658945
0.303388484,8,1,2174.364,1239.868,0,1,2174.364,1239.868,0,97.66013,16.523,-158.6648,-0.001782158,-0.5085462,0.006292998,0.8610099,97.38852,15.9318,-158.6057,-0.05682383,0.4521196,-0.2119674,-0.8645397,97.49369,16.14623,-158.4977,-0.0545038,-0.5095574,-0.03723782,0.8579009
0.330654526,9,1,2174.094,1242.964,0,1,2174.094,1242.964,0,97.65157,16.52348,-158.66,-0.004554237,-0.5088072,0.004385903,0.8608573,97.37877,15.93142,-158.6006,-0.05700448,0.45226,-0.2128229,-0.8642441,97.48246,16.12579,-158.4947,-0.06233798,-0.5067278,0.00603994,0.8598282
0.35772864,10,1,2173.152,1246.645,0,1,2173.152,1246.645,0,97.64258,16.52362,-158.6551,-0.007694141,-0.5096954,0.001650317,0.860319,97.36859,15.93094,-158.5963,-0.05597441,0.4532002,-0.2139575,-0.8635384,97.46983,16.09673,-158.4914,-0.03459915,-0.5132747,0.02579881,0.8571385
0.397701973,11,1,2171.268,1249.278,0,1,2171.268,1249.278,0,97.62826,16.52301,-158.6477,-0.009703735,-0.5114632,-0.000924085,0.8592501,97.35405,15.93019,-158.5875,-0.05654493,0.4538523,-0.2134279,-0.8632899,97.45691,16.08604,-158.4851,-0.004173395,-0.5191488,0.01600292,0.8545238
0.442424474,12,1,2169.554,1248.467,0,1,2169.554,1248.467,0,97.61121,16.52243,-158.6387,-0.00838854,-0.5130994,-0.001488869,0.858287,97.33822,15.92906,-158.5777,-0.05748308,0.4538936,-0.2114734,-0.8636871,97.4328,16.07925,-158.4753,0.008049139,-0.5177799,0.006635686,0.8554502
0.47777083,13,1,2151.737,1259.189,0,0,2151.737,1259.189,0,97.5972,16.52159,-158.631,-0.005985614,-0.5136376,-0.001263097,0.8579855,97.32503,15.92839,-158.5702,-0.05825495,0.4530149,-0.2092962,-0.8646265,97.41519,16.07631,-158.4677,-0.01408734,-0.5129018,-0.0106767,0.8582653
0.514239164,14,1,2151.781,1258.553,0,0,2151.781,1258.553,0,97.58274,16.52179,-158.6226,-0.004270769,-0.5137148,-0.00256077,0.8579467,97.30956,15.92715,-158.5619,-0.05863731,0.4541765,-0.2083283,-0.864225,97.39653,16.06751,-158.4613,-0.01978059,-0.5285073,-0.01061844,0.8486319
0.545294164,15,1,2153.282,1267.109,0,1,2153.282,1267.109,0,97.57029,16.52162,-158.6152,-0.00423588,-0.5131022,-0.005623918,0.8582987,97.29532,15.92639,-158.5547,-0.05904727,0.4537847,-0.2086787,-0.8643183,97.37907,16.05535,-158.4522,-0.01872044,-0.5306548,-0.009611099,0.8473269
0.573593486,16,1,2157.072,1269.656,0,1,2157.072,1269.656,0,97.55864,16.52128,-158.6083,-0.004760213,-0.512492,-0.008229509,0.8586394,97.28254,15.92672,-158.548,-0.05828367,0.4554774,-0.2101302,-0.8631273,97.36437,16.04265,-158.4417,0.003108626,-0.5287055,-0.00242043,0.8487963
