ContentSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a592cac2cdc7fadc129ef59c51b14c20,6b57334d-60ef-4824-a511-454900564f17,2025/3/11 16:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS,N,EYE_OPENING_L,LX,LY,LP,EYE_OPENING_R,RX,RY,RP,CamPos_X,CamPos_Y,CamPos_Z,CamRot_X,CamRot_Y,CamRot_Z,CamRot_W,LControllerPos_X,LControllerPos_Y,LControllerPos_Z,LControllerRot_X,LControllerRot_Y,LControllerRot_Z,LControllerRot_W,RControllerPos_X,RControllerPos_Y,RControllerPos_Z,RControllerRot_X,RControllerRot_Y,RControllerRot_Z,RControllerRot_W
0.02,0,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.99606,18.34237,-158.7655,-0.03239503,0.5417387,-0.002424599,-0.839919,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861
0.039999999,1,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.72797,16.51941,-158.6996,0,-0.5021462,0,0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828
0.059999999,2,1,2183.815,1241.793,0,1,2183.815,1241.793,0,97.727,16.52511,-158.6952,-0.03361363,0.4951848,0.007025484,-0.8681088,97.72424,16.51929,-158.6976,0,0.5021535,0,-0.8647785,97.72424,16.51929,-158.6976,0,0.5021535,0,-0.8647785
0.08469229,3,1,2186.555,1241.527,0,1,2186.555,1241.527,0,97.7209,16.52492,-158.6918,-0.03361369,0.4951923,0.007025197,-0.8681046,97.71815,16.5191,-158.6943,0,0.5021609,0,-0.8647742,97.71815,16.5191,-158.6943,0,0.5021609,0,-0.8647742
0.203875465,4,1,2186.476,1241.068,0,1,2186.476,1241.068,0,97.68966,16.52137,-158.6748,-0.03369804,0.4953126,0.006990371,-0.8680328,97.68692,16.51812,-158.6772,0,0.5022067,0,-0.8647476,97.68692,16.51812,-158.6772,0,0.5022067,0,-0.8647476
0.221067028,5,1,2186.376,1240.759,0,1,2186.376,1240.759,0,97.68484,16.52115,-158.6723,-0.03385612,0.495385,0.006559578,-0.8679887,97.68215,16.51797,-158.6746,0,0.5022141,0,-0.8647434,97.68215,16.51797,-158.6746,0,0.5022141,0,-0.8647434
0.249563798,6,1,2186.494,1240.776,0,1,2186.494,1240.776,0,97.67652,16.52091,-158.6677,-0.03382558,0.4952834,0.006540731,-0.8680481,97.37164,16.05133,-158.5745,0.05531949,0.5464707,0.03257449,-0.835014,97.47511,16.09109,-158.4376,-0.2092768,-0.4277727,-0.2291369,0.8489464
0.271133486,7,1,2186.522,1240.821,0,1,2186.522,1240.821,0,97.66998,16.52073,-158.6641,-0.03378661,0.4952699,0.006568,-0.8680571,97.36502,16.05116,-158.5709,0.05562652,0.5460888,0.0325429,-0.8352447,97.46841,16.09072,-158.434,-0.2085747,-0.428452,-0.2287317,0.848886
0.298608227,8,1,2186.401,1240.89,0,1,2186.401,1240.89,0,97.66121,16.52048,-158.6593,-0.03354675,0.4953966,0.00625076,-0.8679965,97.35638,16.05099,-158.566,0.05568143,0.5460309,0.03250077,-0.8352806,97.45947,16.0902,-158.4291,-0.2079207,-0.4282925,-0.2279981,0.8493241
0.326061195,9,1,2186.237,1240.986,0,1,2186.237,1240.986,0,97.652,16.52033,-158.6544,-0.03338446,0.4955662,0.006113949,-0.8679069,97.34747,16.05115,-158.561,0.05612902,0.5456941,0.03244032,-0.8354731,97.4502,16.09002,-158.4241,-0.2087818,-0.4283877,-0.2281732,0.8490177
0.35677932,10,1,2185.994,1241.243,0,1,2185.994,1241.243,0,97.64125,16.52012,-158.6486,-0.03329157,0.4958195,0.006501032,-0.867763,97.33675,16.05095,-158.5551,0.05632126,0.5453017,0.03220245,-0.8357255,97.4393,16.08954,-158.4182,-0.2082071,-0.4287229,-0.2279994,0.8490364
0.395793175,11,1,2185.509,1241.246,0,1,2185.509,1241.246,0,97.62717,16.51966,-158.6409,-0.03331242,0.4963039,0.006527213,-0.867485,97.32269,16.0508,-158.5473,0.056852,0.5450356,0.032172,-0.8358643,97.42493,16.08884,-158.4102,-0.2076757,-0.4278281,-0.227018,0.8498805
0.438024791,12,1,2185.521,1241.132,0,1,2185.521,1241.132,0,97.61132,16.51917,-158.6322,-0.033338,0.4963158,0.006292953,-0.8674789,97.30671,16.05012,-158.5388,0.05615554,0.5453101,0.03212639,-0.8357341,97.40918,16.08868,-158.4017,-0.2065075,-0.4289503,-0.2269746,0.849611
0.471530208,13,1,2166.353,1243.677,0,0,2166.353,1243.677,0,97.59836,16.51878,-158.6251,-0.03320798,0.4961759,0.006270004,-0.8675641,97.29362,16.04963,-158.5318,0.0555406,0.5455406,0.03222381,-0.8356209,97.39601,16.08804,-158.3946,-0.2041309,-0.4298752,-0.2265666,0.8498268
0.506650155,14,1,2166.512,1243.7,0,0,2166.512,1243.7,0,97.58427,16.51829,-158.6174,-0.03305847,0.4960426,0.00608406,-0.8676473,97.27959,16.04929,-158.5241,0.05532622,0.54593,0.0324654,-0.8353715,97.38181,16.08755,-158.3869,-0.2047553,-0.4294619,-0.2259458,0.8500508
0.537488489,15,1,2166.519,1243.564,0,0,2166.519,1243.564,0,97.57145,16.51785,-158.6105,-0.03320309,0.4960427,0.006041043,-0.867642,97.26669,16.04887,-158.5171,0.05541652,0.5460635,0.03235447,-0.8352825,97.36907,16.08709,-158.3799,-0.2038571,-0.4297733,-0.2261665,0.8500505
0.564400259,16,1,2177.04,1245.424,0,1,2177.04,1245.424,0,97.55999,16.51746,-158.6042,-0.03340154,0.4961006,0.005933987,-0.8676022,97.25494,16.04833,-158.5107,0.05551406,0.5460138,0.03210986,-0.835318,97.35748,16.08663,-158.3736,-0.2035616,-0.430107,-0.2261285,0.8499627
0.592751613,17,1,2176.435,1244.966,0,1,2176.435,1244.966,0,97.54746,16.5171,-158.5974,-0.03332266,0.4962441,0.005810074,-0.8675239,97.2424,16.04784,-158.5038,0.05545395,0.5460832,0.03209913,-0.835277,97.34469,16.08613,-158.3669,-0.2032087,-0.4304549,-0.2252044,0.8501164
0.619705362,18,1,2176.763,1245.109,0,1,2176.763,1245.109,0,97.53519,16.51669,-158.5906,-0.03340242,0.4961842,0.006016531,-0.8675537,97.23003,16.0472,-158.4971,0.05517225,0.5463247,0.03223534,-0.8351325,97.33208,16.08537,-158.3604,-0.2017401,-0.4310543,-0.2240104,0.8504778
