ContentSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad5e64c3816415a6e28380e7193cb2fd,e96dab60-f7ba-40e3-bade-b96f6f267273,2025/3/11 16:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS,N,EYE_OPENING_L,LX,LY,LP,EYE_OPENING_R,RX,RY,RP,CamPos_X,CamPos_Y,CamPos_Z,CamRot_X,CamRot_Y,CamRot_Z,CamRot_W,LControllerPos_X,LControllerPos_Y,LControllerPos_Z,LControllerRot_X,LControllerRot_Y,LControllerRot_Z,LControllerRot_W,RControllerPos_X,RControllerPos_Y,RControllerPos_Z,RControllerRot_X,RControllerRot_Y,RControllerRot_Z,RControllerRot_W
0.02,0,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.7182,18.49701,-158.5854,-0.08789851,-0.7756671,0.07754752,-0.6201618,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861
0.039999999,1,1,2157.589,1133.122,0,1,2157.589,1133.122,0,97.72278,16.51589,-158.6966,-0.07835503,0.5038261,-0.08360299,-0.8561719,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828
0.059999999,2,1,2168.542,1170.542,0,1,2168.542,1170.542,0,97.70536,16.51669,-158.6845,-0.08357752,0.4902864,-0.08187303,-0.8636729,97.69924,15.94713,-158.5372,0.2877622,-0.1591979,-0.1017764,0.9388773,97.57764,16.04576,-158.6364,-0.01495848,-0.6454945,-0.000232132,0.7636184
0.085878175,3,1,2168.211,1168.212,0,1,2168.211,1168.212,0,97.69904,16.5165,-158.6812,-0.08357958,0.4905933,-0.08165661,-0.8635189,97.69257,15.94684,-158.5339,0.2876607,-0.1593837,-0.1014539,0.9389118,97.57117,16.04574,-158.6335,-0.01475027,-0.6460798,-5.21E-05,0.7631274
0.105314009,4,1,2164.859,1154.39,0,1,2164.859,1154.39,0,97.69406,16.51628,-158.6787,-0.08372616,0.4911786,-0.08129331,-0.8632063,97.68684,15.94658,-158.5317,0.2877287,-0.1600711,-0.1010411,0.9388186,97.5657,16.04574,-158.6317,-0.01497613,-0.647146,0.000453361,0.762219
0.136879843,5,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.68546,16.51583,-158.6743,-0.08452654,0.491799,-0.080749,-0.8628259,97.67693,15.94664,-158.5279,0.2878209,-0.1616873,-0.1005405,0.938567,97.55626,16.04567,-158.6283,-0.01594419,-0.6488738,0.000580563,0.7607287
0.165148748,6,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.67726,16.51551,-158.67,-0.08510625,0.4921066,-0.08002567,-0.8626609,97.66776,15.94664,-158.5246,0.2879972,-0.1633963,-0.09922609,0.9383568,97.54719,16.04541,-158.6248,-0.01718549,-0.6501055,0.00058855,0.7596494
0.189971352,7,0,#N/A,#N/A,0,0,#N/A,#N/A,0,97.66963,16.51521,-158.666,-0.08541632,0.4922213,-0.07946703,-0.8626165,97.65959,15.94653,-158.5213,0.2886693,-0.164581,-0.09792756,0.9380795,97.53875,16.04519,-158.6213,-0.01764571,-0.6508466,0.000459788,0.7590041
0.217884529,8,0,2140.215,1142.06,0,1,2140.215,1142.06,0,97.66054,16.51489,-158.6611,-0.08538249,0.4921078,-0.07897295,-0.86273,97.65006,15.94619,-158.5169,0.2893099,-0.1657837,-0.09741023,0.9377244,97.52915,16.04484,-158.6167,-0.0176039,-0.6514824,0.000188181,0.7584596
0.256614894,9,1,2171.288,1176.012,0,1,2171.288,1176.012,0,97.6473,16.51445,-158.6542,-0.08515313,0.4920685,-0.07867526,-0.8628023,97.63636,15.9462,-158.5106,0.2891963,-0.1671504,-0.09679734,0.9375802,97.51569,16.04445,-158.61,-0.01801745,-0.6514827,-0.000529656,0.7584493
