ContentSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401a0f393cfac50812b03400cf646bcd,223f71e5-36e8-4778-8da5-892a25c12979,2025/3/12 15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS,N,EYE_OPENING_L,LX,LY,LP,EYE_OPENING_R,RX,RY,RP,CamPos_X,CamPos_Y,CamPos_Z,CamRot_X,CamRot_Y,CamRot_Z,CamRot_W,LControllerPos_X,LControllerPos_Y,LControllerPos_Z,LControllerRot_X,LControllerRot_Y,LControllerRot_Z,LControllerRot_W,RControllerPos_X,RControllerPos_Y,RControllerPos_Z,RControllerRot_X,RControllerRot_Y,RControllerRot_Z,RControllerRot_W
0.02,0,0,#N/A,#N/A,0,0,#N/A,#N/A,0,98.35066,18.17865,-158.5333,-0.02093318,0.4713529,-0.02881861,-0.8812251,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861,97.73048,16.51949,-158.701,0,0.5021404,0,-0.8647861
0.039999999,1,1,2167.957,1232.082,0,1,2167.957,1232.082,0,97.72805,16.38743,-158.6998,-0.008420986,0.50213,-0.02844369,-0.8642833,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828,97.72797,16.51941,-158.6996,0,0.5021462,0,-0.8647828
0.059999999,2,1,2169.146,1251.984,0,1,2169.146,1251.984,0,97.7247,16.5195,-158.6982,-0.007900065,0.5031345,-0.02779811,-0.8637248,97.50874,15.94371,-158.6718,0.03765646,-0.4642918,-0.06768278,0.8822892,97.58616,15.93472,-158.5309,-0.003501661,-0.6404836,0.06370292,0.7653172
0.107997187,3,1,2168.886,1253.314,0,1,2168.886,1253.314,0,97.71297,16.51928,-158.6917,-0.007357711,0.5030251,-0.02748246,-0.8638034,97.49709,15.94375,-158.6652,0.03787059,-0.4640491,-0.06797025,0.8823857,97.5743,15.93455,-158.5242,-0.003163023,-0.6402087,0.0634232,0.765572
0.141639687,4,1,2169.399,1253.411,0,1,2169.399,1253.411,0,97.70425,16.51908,-158.6868,-0.007259584,0.5026644,-0.02739703,-0.864017,97.48838,15.94353,-158.6603,0.03807135,-0.4641719,-0.06782749,0.8823234,97.56538,15.93423,-158.5193,-0.003161374,-0.6402953,0.06340666,0.765501
0.168010574,5,1,2170.159,1253.524,0,1,2170.159,1253.524,0,97.69699,16.51891,-158.6828,-0.007205159,0.502474,-0.02726688,-0.8641323,97.48108,15.94337,-158.6563,0.03827297,-0.4641764,-0.06764136,0.8823265,97.55807,15.93396,-158.5153,-0.003191652,-0.640363,0.06336828,0.7654474
0.202457864,6,1,2170.241,1253.741,0,1,2170.241,1253.741,0,97.687,16.5187,-158.6772,-0.007104512,0.50243,-0.02674686,-0.8641749,97.47102,15.9432,-158.6509,0.03824906,-0.4640864,-0.06765442,0.8823739,97.54805,15.93354,-158.5098,-0.003095489,-0.6403075,0.06328499,0.765501
0.23017172,7,1,2170.515,1253.049,0,1,2170.515,1253.049,0,97.67855,16.51847,-158.6724,-0.007170576,0.5023104,-0.02651925,-0.864251,97.46242,15.94254,-158.6462,0.03824677,-0.4640293,-0.06781923,0.8823914,97.53947,15.93301,-158.505,-0.002856648,-0.6402833,0.06321056,0.7655283
0.258468334,8,1,2170.792,1252.832,0,1,2170.792,1252.832,0,97.66956,16.5182,-158.6674,-0.007376975,0.5021376,-0.02650806,-0.8643499,97.45337,15.94226,-158.6412,0.03827178,-0.4640337,-0.06790835,0.8823812,97.53042,15.9328,-158.5001,-0.002819508,-0.6403004,0.06323516,0.7655121
0.285462864,9,1,2170.961,1252.396,0,1,2170.961,1252.396,0,97.66054,16.51797,-158.6623,-0.007488273,0.5020208,-0.02646808,-0.864418,97.44436,15.94211,-158.6363,0.03830278,-0.4640941,-0.06783428,0.8823538,97.52144,15.93267,-158.4951,-0.003122292,-0.6402403,0.06308377,0.7655737
